                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6269,                 3.6436,                 1.8745,                 0.0054,                      1,                0.48041,                0.29556,                 1.0245,                 3.2069,                 1.1254,             0.00011432,             0.00011432,             0.00011432
                      2,                 1.2694,                 2.6995,                 1.5018,                 0.0063,                      1,                0.70528,                0.48688,                 1.0098,                 2.9197,                   1.09,             0.00021888,             0.00021888,             0.00021888
                      3,                 1.1339,                 1.9016,                 1.3531,                 0.0095,                      1,                0.88828,                0.64522,                0.97309,                 2.8014,                 1.0492,             0.00029798,             0.00029798,             0.00029798
                      4,                 1.0848,                 1.7878,                 1.2897,                0.83277,                0.93939,                0.93566,                0.63274,                 1.0061,                 2.6225,                 1.0494,             0.00035161,             0.00035161,             0.00035161
                      5,                 1.0354,                 1.6525,                 1.2418,                0.94686,                0.39518,                0.91684,                0.61143,                 1.0287,                 2.4926,                 1.0461,             0.00037977,             0.00037977,             0.00037977
                      6,                 0.9627,                 1.5787,                 1.2198,                0.93725,                0.71372,                0.93902,                0.67617,                 0.9541,                 2.2954,                 1.0331,             0.00038247,             0.00038247,             0.00038247
                      7,                0.98874,                 1.4966,                 1.2149,                0.93127,                0.79985,                0.95101,                0.66176,                 1.0858,                 2.1446,                 1.1028,             0.00035971,             0.00035971,             0.00035971
                      8,                0.96227,                 1.4138,                 1.1971,                0.94782,                0.87172,                0.96449,                0.68476,                   1.05,                 1.9601,                 1.0756,             0.00031148,             0.00031148,             0.00031148
                      9,                0.91116,                 1.3683,                 1.1566,                  0.936,                0.91874,                0.96094,                0.69699,                0.99963,                 1.6973,                 1.0381,             0.00023779,             0.00023779,             0.00023779
                     10,                0.90665,                  1.337,                 1.1606,                0.93618,                0.93154,                0.95671,                0.68158,                 1.0266,                 1.5241,                 1.0439,             0.00013863,             0.00013863,             0.00013863
