                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.09,                 2.5542,                 1.4017,                0.54558,                0.86154,                0.71238,                0.51251,                0.97219,                 1.7663,                 1.1587,              0.0004724,              0.0004724,              0.0004724
                      2,                 1.0601,                  1.971,                 1.3732,                0.74977,                0.95477,                 0.9533,                0.73417,                0.89379,                 1.6048,                 1.0964,             0.00094247,             0.00094247,             0.00094247
                      3,                 1.1062,                 1.8008,                 1.3729,                0.82677,                0.87829,                0.89871,                0.63434,                 1.0472,                 1.6439,                 1.1465,              0.0014063,              0.0014063,              0.0014063
                      4,                 1.1221,                 1.7059,                 1.3599,                0.89491,                0.91894,                0.96271,                0.72597,                0.94654,                 1.2275,                 1.0796,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.1554,                 1.6876,                  1.393,                0.79264,                0.95803,                0.91161,                0.66422,                 1.0711,                 1.3357,                 1.1929,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.1389,                 1.5925,                 1.3827,                0.95651,                0.96162,                0.95912,                 0.6819,                 1.0463,                 1.2667,                 1.1549,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.1303,                 1.5024,                 1.3771,                0.89982,                0.92654,                 0.9484,                0.68434,                 1.0192,                 1.4213,                 1.1653,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.0832,                 1.5356,                 1.3472,                0.91082,                0.84532,                0.92461,                0.64144,                0.99276,                 1.4845,                 1.1684,               0.001363,               0.001363,               0.001363
                      9,                 1.1521,                 1.5412,                 1.3783,                0.94992,                0.93512,                0.96423,                0.72628,                0.99459,                 1.0903,                 1.0961,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.0626,                  1.348,                 1.3211,                0.93267,                0.87476,                0.90998,                0.61638,                 1.1298,                 1.2042,                 1.2306,              0.0013441,              0.0013441,              0.0013441
                     11,                 1.0721,                 1.3472,                 1.3226,                0.97493,                0.88139,                0.93678,                0.68028,                 1.0431,                 1.1544,                 1.1676,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.0691,                 1.2641,                 1.3391,                0.94577,                0.84513,                0.94128,                0.67686,                 1.0344,                 1.0327,                 1.1847,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.0148,                 1.1918,                  1.295,                0.93121,                0.97592,                0.97101,                0.72339,                0.94983,                0.89557,                 1.1016,              0.0013158,              0.0013158,              0.0013158
                     14,                 1.0588,                 1.1742,                 1.3186,                0.91631,                0.95597,                0.97865,                 0.7194,                0.92609,                0.90582,                 1.0833,              0.0013064,              0.0013064,              0.0013064
                     15,                   1.05,                 1.1847,                 1.3304,                0.95018,                0.90768,                0.94672,                0.72214,                0.94627,                0.91259,                 1.0776,               0.001297,               0.001297,               0.001297
                     16,                0.99518,                 1.0779,                 1.2684,                0.96307,                0.93773,                0.97334,                 0.7492,                 0.9368,                0.78415,                 1.0819,              0.0012875,              0.0012875,              0.0012875
                     17,                 1.0225,                 1.0467,                 1.2952,                  0.983,                0.94408,                0.97973,                0.73937,                0.98328,                0.81443,                 1.1221,              0.0012781,              0.0012781,              0.0012781
                     18,                 0.9942,                 1.0376,                 1.2766,                  0.954,                0.94284,                0.95006,                0.72157,                 0.9439,                0.84883,                 1.1252,              0.0012687,              0.0012687,              0.0012687
                     19,                 1.0503,                   1.07,                 1.3401,                0.93664,                 0.9453,                0.96819,                0.72636,                0.93071,                0.75489,                 1.0986,              0.0012592,              0.0012592,              0.0012592
